# wind_direction,wind_speed,rain_meter,solar_rad,soil_moisture_ectm,soil_temp_ectm,air_humid,air_temp,timed
# numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric, timestamp(y-M-d H:m:s)
185.143,0,0,0,42.248,13.3,93.369,9.62,7/3/2009 20:40
186.198,0,0,0,42.04,13.3,93.236,9.68,7/3/2009 20:45
186.198,0,0,0,41.936,13.3,92.981,9.76,7/3/2009 20:50
185.143,0.05,0,0,41.936,13.4,92.984,9.77,7/3/2009 20:55
217.143,1.006,0,0.439,42.248,13.3,93.454,9.78,7/3/2009 21:00
213.275,0,0,0.439,42.248,13.4,93.531,9.75,7/3/2009 21:05
210.11,0.302,0,0,42.144,13.2,93.422,9.66,7/3/2009 21:10
210.462,0,0,0.439,42.248,13.2,93.3,9.52,7/3/2009 21:15
189.363,1.023,0,0,42.144,13.1,93.57,9.5,7/3/2009 21:20
202.022,0.319,0,0,41.832,13.1,93.358,9.42,7/3/2009 21:25
202.725,0.268,0,0.439,42.04,13.2,93.828,9.44,7/3/2009 21:30
203.429,0.151,0,0,41.936,13.3,94.512,9.49,7/3/2009 21:35
202.725,0.184,0,0.439,42.04,13.1,94.636,9.56,7/3/2009 21:40
203.077,0,0,0.439,41.936,13.2,94.717,9.55,7/3/2009 21:45
281.846,0.57,0,0,42.144,13.2,94.333,9.6,7/3/2009 21:50
244.22,0.134,0,0,41.936,13.2,92.261,9.71,7/3/2009 21:55
244.923,0.067,0,0,42.04,13.1,92.527,9.66,7/3/2009 22:00
244.22,0.017,0,0,41.832,13.2,92.043,9.62,7/3/2009 22:05
244.22,0,0,1.316,41.832,13.1,91.622,9.58,7/3/2009 22:10
274.462,0.352,0,0,42.144,13,90.58,9.68,7/3/2009 22:15
258.989,0.687,0,0,41.832,13,90.935,9.7,7/3/2009 22:20
265.319,0,0,0,42.144,13.1,90.489,9.84,7/3/2009 22:25
264.615,0,0,2.193,41.936,13.2,90.6,9.76,7/3/2009 22:30
264.967,0,0,0,42.04,13.1,91.475,9.68,7/3/2009 22:35
264.615,0.704,0,0,41.832,13,92.377,9.5,7/3/2009 22:40
204.132,1.039,0,0,41.728,13.1,91.492,9.58,7/3/2009 22:45
215.385,0.838,0,0.439,42.04,13.1,89.982,9.58,7/3/2009 22:50
214.33,0.017,0,0,42.144,13.2,88.732,9.56,7/3/2009 22:55
215.736,0,0,0,41.832,12.9,92.821,9.32,7/3/2009 23:00
215.385,1.123,0,0,41.936,13.2,91.647,9.26,7/3/2009 23:05
225.582,1.341,0,0,42.04,13,90.304,9.12,7/3/2009 23:10
225.934,0.017,0,0.877,41.728,13.1,89.564,9.33,7/3/2009 23:15
226.286,0.034,0,0,41.936,12.9,90.503,9.21,7/3/2009 23:20
229.802,1.274,0,0,41.832,13.1,90.508,9.06,7/3/2009 23:25
220.308,0.771,0,0,41.728,12.8,90.992,9.16,7/3/2009 23:30
189.363,0.402,0,0.877,41.728,13.1,90.265,9.31,7/3/2009 23:35
193.934,0.402,0,0.439,41.936,13,90.313,9.24,7/3/2009 23:40
248.088,1.09,0,0,41.728,13,90.479,9.29,7/3/2009 23:45
247.385,0.302,0,0.439,41.728,12.9,89.565,9.16,7/3/2009 23:50
247.033,0.704,0,0.439,41.728,12.8,89.543,9.16,7/3/2009 23:55
246.33,0,0,0.439,41.728,12.6,89.276,9.42,7/4/2009 0:00
247.033,0.034,0,0,41.624,12.7,89.664,9.2,7/4/2009 0:05
247.033,0,0,0.877,41.936,13,90.027,9.24,7/4/2009 0:10
246.681,0,0,0,41.52,12.9,88.738,9.32,7/4/2009 0:15
246.681,0,0,0.877,41.728,12.8,87.756,9.53,7/4/2009 0:20
246.681,0.671,0,0.439,41.832,12.7,87.079,9.64,7/4/2009 0:25
197.099,1.475,0,0.439,41.832,12.9,86.668,9.55,7/4/2009 0:30
196.044,1.693,0,0,41.624,12.7,86.364,9.62,7/4/2009 0:35
209.055,1.19,0,0,41.624,12.7,86.159,9.82,7/4/2009 0:40
197.802,1.257,0,0,41.832,12.7,85.151,9.87,7/4/2009 0:45
197.538,1.391,0,0,41.728,12.9,84.817,9.74,7/4/2009 0:50
204.484,1.308,0,0,41.624,12.8,84.12,9.87,7/4/2009 0:55
204.484,0.905,0,0.877,41.624,12.8,82.868,9.89,7/4/2009 1:00
204.484,0.184,0,0.439,41.728,12.6,81.471,9.98,7/4/2009 1:05
204.484,0.117,0,0,41.728,12.6,81.433,9.92,7/4/2009 1:10
240,0.486,0,0,41.624,12.8,82.018,9.84,7/4/2009 1:15
240,0,0,0,41.832,12.9,82.957,9.76,7/4/2009 1:20
240,0,0,0,41.728,12.5,84.486,9.43,7/4/2009 1:25
240.352,0,0,0,41.624,12.7,84.8,9.18,7/4/2009 1:30
240.352,0,0,0,41.52,12.6,85.269,9,7/4/2009 1:35
240,0.184,0,0.439,41.624,12.5,82.502,9.65,7/4/2009 1:40
240.352,0,0,0,41.624,12.8,82.438,9.58,7/4/2009 1:45
240,0,0,0,41.832,12.6,81.765,9.68,7/4/2009 1:50
240.352,0.335,0,0,41.624,12.6,82.643,9.64,7/4/2009 1:55
240.352,0.52,0,0,41.624,12.5,82.452,9.64,7/4/2009 2:00
240.352,0,0,0,41.832,12.5,82.449,9.52,7/4/2009 2:05
240.352,0,0,0,41.832,12.5,81.469,9.65,7/4/2009 2:10
240,0,0,0,41.936,12.4,82.896,9.39,7/4/2009 2:15
240,0.067,0,0,41.624,12.3,82.148,9.46,7/4/2009 2:20
210.11,1.442,0,0,41.832,12.4,80.123,9.72,7/4/2009 2:25
217.495,1.274,0,0,41.728,12.5,79.348,9.77,7/4/2009 2:30
217.495,0.704,0,0.439,41.624,12.4,79.141,9.84,7/4/2009 2:35
217.846,0.453,0,0.877,41.624,12.2,78.734,9.79,7/4/2009 2:40
218.198,0,0,0,41.624,12.5,79.418,9.75,7/4/2009 2:50
218.198,0,0,0,41.624,12.3,79.686,9.74,7/4/2009 2:55
217.846,0.503,0,0.439,41.52,12.5,78.549,10.08,7/4/2009 3:00
217.495,1.039,0,0.439,41.624,12.3,78.984,9.8,7/4/2009 3:05
240,0.754,0,0,41.624,12.3,79.422,9.88,7/4/2009 3:10
240.703,1.023,0,0,41.52,12.6,78.673,10.08,7/4/2009 3:15
213.978,1.224,0,0,41.728,12.3,80.17,9.6,7/4/2009 3:20
234.725,0.956,0,0,41.728,12.5,81.289,9.39,7/4/2009 3:25
216.791,0.939,0,0,41.624,12.4,81.263,9.38,7/4/2009 3:30
237.187,0.654,0,0.877,41.624,12.2,81.979,9.14,7/4/2009 3:35
236.484,0.101,0,0.439,41.624,12.4,82.711,8.9,7/4/2009 3:40
237.187,0.101,0,1.755,41.624,12.2,81.839,9.16,7/4/2009 3:45
237.187,0,0,3.509,41.624,12.4,81.247,9.2,7/4/2009 3:50
237.538,0,0,5.264,41.624,12.2,82.326,8.88,7/4/2009 3:55
238.242,0,0,6.58,41.832,12.3,82.415,9.06,7/4/2009 4:00
237.187,0,0,8.774,41.52,12,80.963,9.23,7/4/2009 4:05
237.538,0,0,9.651,41.624,12.3,81.016,9.25,7/4/2009 4:10
237.187,0,0,13.599,41.624,12.3,80.63,9.15,7/4/2009 4:15
237.187,0,0,14.915,41.624,12.2,81.845,8.87,7/4/2009 4:20
237.187,0,0,16.231,41.832,12.2,81.769,9.06,7/4/2009 4:25
236.835,0,0,17.109,41.728,12.3,81.303,9.13,7/4/2009 4:30
237.187,0.352,0,20.179,41.728,12.2,80.584,9.38,7/4/2009 4:35
236.835,0.201,0,23.25,41.624,12.1,80.143,9.48,7/4/2009 4:40
236.835,0.838,0,23.25,41.624,12.1,80.248,9.29,7/4/2009 4:45
260.396,0.486,0,25.882,41.52,12.1,81.321,9.1,7/4/2009 4:50
260.747,0.419,0,32.024,41.52,11.9,81.581,9.08,7/4/2009 4:55
261.099,0.268,0,32.024,41.52,12,81.79,9.05,7/4/2009 5:00
261.099,0.654,0,31.585,41.416,12,81.559,9.3,7/4/2009 5:05
260.747,0.754,0,34.217,41.52,12,82.705,9.08,7/4/2009 5:10
260.396,0,0,139.501,41.728,12.1,82.923,9.82,7/4/2009 5:15
260.747,0.034,0,155.294,41.624,11.9,78.694,11.33,7/4/2009 5:20
260.747,0.402,0,174.157,41.728,12.1,77.359,11.8,7/4/2009 5:25
17.495,0.335,0,190.827,41.728,11.9,74.384,11.82,7/4/2009 5:30
54.066,0.486,0,199.162,41.52,12,77.947,11.71,7/4/2009 5:35
82.813,1.475,0,218.903,41.416,12,77.243,11.49,7/4/2009 5:40
94.066,1.073,0,236.011,41.728,11.9,74.523,11.48,7/4/2009 5:45
98.637,0.956,0,244.785,41.728,11.8,74.317,11.62,7/4/2009 5:50
85.978,0.486,0,265.842,41.624,12,74.211,11.74,7/4/2009 5:55
80.703,1.408,0,281.635,41.624,11.9,76.851,12.29,7/4/2009 6:00
83.165,0.738,0,298.305,41.728,11.9,75.451,12.35,7/4/2009 6:05
82.637,1.66,0,314.097,41.728,11.8,74.015,12.32,7/4/2009 6:10
53.714,2.012,0,332.96,41.624,12.1,75.084,12.84,7/4/2009 6:15
32.703,1.794,0,350.508,41.52,11.8,74.691,12.57,7/4/2009 6:20
51.165,2.263,0,365.862,41.52,11.7,76.155,12.64,7/4/2009 6:25
37.626,1.609,0,378.145,41.52,11.7,73.802,12.96,7/4/2009 6:30
31.648,1.945,0,394.815,41.52,11.9,73.221,12.82,7/4/2009 6:35
18.198,2.079,0,420.258,41.52,11.8,71.424,13.15,7/4/2009 6:40
44.132,2.347,0,431.225,41.52,11.8,77.702,13.06,7/4/2009 6:45
42.11,2.347,0,450.089,41.52,11.7,78.463,13.18,7/4/2009 6:50
50.462,1.978,0,471.146,41.416,11.9,80.442,13.06,7/4/2009 6:55
65.319,1.676,0,502.731,41.832,11.5,78.67,12.97,7/4/2009 7:00
69.099,1.207,0,457.546,41.416,11.4,76.917,12.97,7/4/2009 7:05
55.912,1.995,0,545.722,41.624,11.8,78.782,13.02,7/4/2009 7:10
45.539,2.246,0,402.711,41.208,11.6,78.096,13.48,7/4/2009 7:15
56.879,1.861,0,586.958,41.728,11.6,79.778,13.56,7/4/2009 7:20
43.78,1.509,0,602.751,41.52,11.9,76.682,13.69,7/4/2009 7:25
64.879,2.079,0,551.863,41.52,11.5,73.999,14.08,7/4/2009 7:30
55.56,2.28,0,608.015,41.52,11.7,77.949,13.75,7/4/2009 7:35
85.714,1.777,0,658.902,41.728,11.8,76.079,13.52,7/4/2009 7:40
68.396,1.626,0,671.185,41.312,11.6,77.259,13.87,7/4/2009 7:45
50.549,1.274,0,432.542,41.52,11.5,74.814,14.34,7/4/2009 7:50
53.275,2.699,0,681.714,41.52,11.6,77.118,14.55,7/4/2009 7:55
37.626,2.582,0,616.788,41.312,11.6,72.45,14.99,7/4/2009 8:00
29.451,2.598,0,469.391,41.52,11.8,77.212,15,7/4/2009 8:05
36.396,2.531,0,530.807,41.52,11.8,69.878,14.99,7/4/2009 8:10
38.418,2.414,0,781.733,41.52,11.8,75.636,14.91,7/4/2009 8:15
48.703,2.146,0,801.035,41.416,11.6,77.345,15.02,7/4/2009 8:20
42.11,2.917,0,402.711,41.624,11.6,74.203,14.97,7/4/2009 8:25
44.659,2.447,0,451.844,41.52,11.8,75.964,14.98,7/4/2009 8:30
12.923,2.515,0,857.187,41.312,11.7,74.43,15.05,7/4/2009 8:35
37.451,3.118,0,515.014,41.416,11.6,76.898,14.98,7/4/2009 8:40
39.648,3.084,0,894.036,41.728,11.5,77.66,15.66,7/4/2009 8:45
32.528,4.576,0,872.979,41.416,11.6,71.68,14.76,7/4/2009 8:50
35.868,3.671,0,571.165,41.312,11.6,71.546,15.19,7/4/2009 8:55
26.198,3.755,0,515.014,41.624,11.6,73.506,15.2,7/4/2009 9:00
35.692,3.906,0,737.865,41.312,11.6,73.331,14.99,7/4/2009 9:05
44.484,3.939,0,586.958,41.624,11.9,71.654,15.47,7/4/2009 9:10
56.088,3.973,0,695.751,41.312,11.7,71.043,15.68,7/4/2009 9:15
45.275,2.783,0,636.09,41.728,11.7,79.603,15.66,7/4/2009 9:20
32.352,3.353,0,162.313,41.416,11.6,73.683,14.75,7/4/2009 9:25
20.923,2.364,0,927.376,41.416,11.7,73.993,15.38,7/4/2009 9:30
39.56,2.598,0,895.791,41.208,11.8,75.019,15.62,7/4/2009 9:35
53.275,3.403,0,620.298,41.52,11.9,72.805,15.3,7/4/2009 9:40
42.374,1.827,0,985.282,41.52,11.5,69.449,16.38,7/4/2009 9:45
15.473,2.397,0,950.188,41.624,11.6,71.669,16.4,7/4/2009 9:50
39.297,3.504,0,799.281,41.624,11.7,69.029,16.05,7/4/2009 9:55
39.385,2.045,0,1073.02,41.624,11.8,68.512,16.1,7/4/2009 10:00
66.989,3.353,0,1037.92,41.52,11.7,64.76,16.36,7/4/2009 10:05
36.132,2.665,0,1011.6,41.312,11.8,65.29,16.96,7/4/2009 10:10
36.044,2.783,0,1041.43,41.52,11.6,69.907,16.77,7/4/2009 10:15
42.022,2.967,0,713.299,41.52,11.8,65.579,16.82,7/4/2009 10:20
57.495,2.079,0,190.827,41.312,11.8,69.491,16.31,7/4/2009 10:25
69.802,1.375,0,609.769,41.624,11.8,69.312,15.49,7/4/2009 10:30
56.264,2.531,0,1022.13,41.416,11.8,69.79,16.14,7/4/2009 10:35
341.626,2.816,0,918.602,41.624,11.9,66.059,16.48,7/4/2009 10:40
89.143,1.626,0,946.678,41.416,11.9,66.902,16.94,7/4/2009 10:45
124.659,2.431,0,522.033,41.208,11.9,66.583,16.73,7/4/2009 10:50
104.615,1.676,0,585.203,41.312,11.8,67.379,15.84,7/4/2009 10:55
72.615,1.995,0,894.036,41.52,12,69.361,16.2,7/4/2009 11:00
113.407,2.112,0,1176.55,41.416,11.9,62.321,17.46,7/4/2009 11:05
25.319,2.632,0,397.447,41.104,11.9,63.719,16.3,7/4/2009 11:10
41.319,2.129,0,344.805,41.416,12.1,67.676,15.63,7/4/2009 11:15
91.253,2.598,0,443.07,41.312,12.1,68.364,14.83,7/4/2009 11:20
87.912,3.135,0,283.389,41.416,12.1,69.89,14.47,7/4/2009 11:25
8.088,2.012,0,715.053,41.52,11.9,68.759,15.03,7/4/2009 11:30
94.066,1.274,0,523.788,41.416,12.1,67.226,15.61,7/4/2009 11:35
43.868,1.559,0,551.863,41.312,11.9,65.704,15.26,7/4/2009 11:40
12.044,1.324,0,413.239,41.52,12.1,67.059,15.61,7/4/2009 11:45
63.121,2.196,0,388.673,41.416,12.1,69.145,15.33,7/4/2009 11:50
38.506,1.542,0,281.635,41.312,12.1,70.018,14.57,7/4/2009 11:55
48.703,2.414,0,196.53,41.416,12,72.412,13.97,7/4/2009 12:00
122.901,2.079,0,249.172,41.52,12.2,77.512,13.61,7/4/2009 12:05
182.33,1.525,0,161.435,41.208,12.3,76.838,13.45,7/4/2009 12:10
164.396,0.553,0,187.318,41.416,12.4,77.88,13.3,7/4/2009 12:15
166.857,0.352,0,190.388,41.208,12.2,83.614,13.02,7/4/2009 12:20
189.363,0.05,0,641.355,41.416,12.2,83.345,13.11,7/4/2009 12:25
127.473,0.888,0,1048.45,41.624,12.5,81.495,14.68,7/4/2009 12:30
141.538,1.291,0,321.116,41.416,12.4,77.484,15.56,7/4/2009 12:35
46.945,0.838,0,923.867,41.624,12.5,78.522,15.97,7/4/2009 12:40
351.824,2.598,0,246.54,41.52,12.6,77.381,14.82,7/4/2009 12:45
98.989,1.274,0,785.243,41.52,12.5,79.874,14.23,7/4/2009 12:50
50.286,1.894,0,273.738,41.208,12.4,76.727,14.53,7/4/2009 12:55
45.011,1.475,0,297.866,41.416,12.2,75.793,14.91,7/4/2009 13:00
89.495,2.196,0,234.695,41.312,12.5,80.232,13.58,7/4/2009 13:05
124.308,1.123,0,213.2,41.312,12.5,79.805,13.11,7/4/2009 13:10
154.901,0.821,0,150.03,41.416,12.4,81.889,12.48,7/4/2009 13:15
90.901,0.788,0,132.482,41.312,12.8,82.033,12.04,7/4/2009 13:20
112,0.101,0,132.482,41.208,12.6,84.578,11.62,7/4/2009 13:25
125.011,1.056,0,128.095,41.416,12.6,85.765,11.27,7/4/2009 13:30
100.747,0.771,0,82.034,41.208,12.7,88.632,10.96,7/4/2009 13:35
211.165,1.945,0,78.963,41.208,12.6,92.225,10.64,7/4/2009 13:45
232.264,2.85,0,103.529,41.208,12.6,91.807,10.37,7/4/2009 13:50
200.264,3.185,0.254,98.265,41.312,12.8,91.225,10.48,7/4/2009 13:55
127.121,0.453,0,78.086,41.728,12.7,91.335,10.4,7/4/2009 14:00
209.758,1.76,0,76.77,41.312,12.8,91.266,10.3,7/4/2009 14:05
169.758,0.654,0.254,79.84,41.624,12.8,89.895,10.37,7/4/2009 14:10
157.011,1.375,0,114.058,41.52,12.7,93.338,10.06,7/4/2009 14:15
8.615,1.71,0.254,115.812,41.728,12.6,94.296,10.08,7/4/2009 14:20
77.539,0.754,0,78.524,41.52,12.8,94.458,10.06,7/4/2009 14:25
352.176,0.62,0,310.149,41.728,12.7,94.427,10.1,7/4/2009 14:30
352.879,0.067,0,351.824,41.624,13,93.744,10.86,7/4/2009 14:35
247.385,1.19,0,248.733,41.52,12.8,90.959,10.81,7/4/2009 14:40
47.736,0.285,0,313.22,41.832,12.9,92.113,11.54,7/4/2009 14:45
58.901,1.106,0,279.88,41.416,12.8,92.141,11.9,7/4/2009 14:50
111.648,0.855,0,163.19,41.624,13,93.499,11.06,7/4/2009 14:55
121.846,0.268,0,287.776,41.624,12.9,91.825,10.77,7/4/2009 15:00
19.517,1.157,0,311.465,41.728,12.9,91.16,11.42,7/4/2009 15:05
25.582,2.883,0,282.512,41.416,13,89.381,11.34,7/4/2009 15:10
95.648,1.978,0,288.653,41.416,12.9,90.989,11.27,7/4/2009 15:15
18.55,1.676,0,223.728,41.728,13,91.887,11.68,7/4/2009 15:20
61.363,0.956,0,96.072,41.624,12.9,91.965,11.14,7/4/2009 15:25
198.154,2.129,0,169.77,41.52,13,92.415,10.54,7/4/2009 15:30
189.011,0.084,0,168.893,41.416,13,91.127,10.61,7/4/2009 15:35
168.264,0.034,0,111.425,41.728,13.1,88.034,10.56,7/4/2009 15:40
107.78,0,0,66.68,41.624,13.1,86.53,10.4,7/4/2009 15:45
225.231,0.654,0,57.029,41.416,13.3,86.064,10,7/4/2009 15:50
169.319,0.536,0,50.01,41.416,13,86.806,9.46,7/4/2009 15:55
176.791,1.006,0,56.59,41.416,13.2,86.109,9.42,7/4/2009 16:00
178.11,0,0,64.048,41.624,13.1,86.82,9.42,7/4/2009 16:05
178.462,0.067,0,58.784,41.624,12.9,86.499,9.42,7/4/2009 16:10
